,jurisdiction,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,incarcerated_total,incarcerated_white,incarcerated_black,incarcerated_hispanic,incarcerated_amerind,incarcerated_asian,incarcerated_other,incarcerated_unknown,incarcerated_nonwhite,Year
0,Alaska,"633,630","3,735",39,501,,514,"2,681","23,160","3,847","16,695",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
1,Arizona,"5,306,966","28,675",400,"1,518",,"8,868","17,889","293,874","54,821","186,850",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
2,Alabama,"4,468,912","19,582",379,"1,369",,"5,584","12,250","173,253","40,642","119,992",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
3,Arkansas,"2,694,698","12,190",148,892,,"2,181","8,969","99,106","22,196","69,590",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
4,California,"34,600,463","212,867","2,206","9,960",,"64,614","136,087","1,134,189","232,273","697,739",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
5,Colorado,"4,430,989","15,492",158,"1,930",,"3,555","9,849","170,887","28,533","121,360",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
6,Connecticut,"3,434,602","11,492",105,639,,"4,183","6,565","95,299","17,159","65,762",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
7,Delaware,"796,599","4,868",23,420,,"1,156","3,269","27,399","5,144","19,476",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
8,DC,"573,822","9,195",231,181,,"3,780","5,003","35,232","4,949","22,313",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
9,Florida,"16,373,330","130,713",874,"6,641",,"32,867","90,331","782,517","176,052","516,548",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
10,Georgia,"8,405,677","41,671",598,"2,180",,"14,402","24,491","347,872","71,799","238,484",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
11,Hawaii,"1,227,024","3,117",32,409,,"1,142","1,534","62,830","11,162","44,925",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
12,Idaho,"1,320,585","3,211",30,425,,245,"2,511","38,181","7,507","28,285",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
13,Illinois,"12,520,227","79,270",982,"4,010",,"24,931","49,347","434,648","79,158","306,757",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
14,Indiana,"6,126,743","22,734",413,"1,716",,"7,171","13,434","211,548","42,758","147,291",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
15,Iowa,"2,931,967","7,865",50,649,,"1,154","6,012","88,634","16,885","66,244",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
16,Kansas,"2,702,125","10,909",92,945,,"2,423","7,449","105,537","20,514","77,038",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
17,Kentucky,"4,068,816","10,510",181,"1,051",,"3,269","6,009","107,356","26,964","71,448",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
18,Louisiana,"4,470,368","30,678",501,"1,403",,"7,864","20,910","207,693","46,451","139,555",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
19,Maine,"1,284,470","1,435",19,326,,264,826,"33,154","6,898","24,585",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
20,Maryland,"5,386,079","42,088",446,"1,449",,"13,525","26,668","219,512","41,553","145,934",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
21,Massachusetts,"6,401,164","30,585",143,"1,856",,"6,476","22,110","167,079","32,430","106,821",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
22,Michigan,"10,006,266","55,424",672,"5,264",,"12,937","36,551","352,353","72,038","226,708",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
23,Minnesota,"4,984,535","13,145",119,"2,236",,"3,758","7,032","165,046","25,496","124,519",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
24,Mississippi,"2,859,733","10,006",282,"1,147",,"3,294","5,283","109,609","29,821","70,315",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
25,Missouri,"5,637,309","30,472",372,"1,383",,"7,771","20,946","238,411","42,977","167,420",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
26,Montana,"905,382","3,187",34,188,,230,"2,735","30,175","3,670","24,684",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
27,Nebraska,"1,720,039","5,214",43,431,,"1,128","3,612","68,963","9,760","52,713",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
28,Nevada,"2,097,722","12,359",180,883,,"4,932","6,364","77,486","17,711","45,073",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
29,New Hampshire,"1,259,359","2,144",17,458,,445,"1,224","27,089","4,889","20,060",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
30,New Jersey,"8,511,116","33,094",336,"1,278",,"14,110","17,370","240,551","46,812","156,031",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
31,New Mexico,"1,830,935","14,288",99,850,,"2,695","10,644","83,095","19,552","56,406",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
32,New York,"19,084,350","98,022",960,"3,546",,"36,555","56,961","458,003","80,400","329,316",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
33,North Carolina,"8,206,105","40,465",505,"2,083",,"13,304","24,573","363,777","101,889","237,241",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
34,North Dakota,"636,550",505,7,164,,60,274,"14,834","2,165","11,583",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
35,Ohio,"11,389,785","40,023",452,"4,466",,"17,199","17,906","435,115","96,910","295,976",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
36,Oklahoma,"3,469,577","17,726",185,"1,486",,"2,746","13,309","141,679","34,573","94,537",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
37,Oregon,"3,473,441","10,650",84,"1,174",,"2,749","6,643","164,524","26,648","123,034",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
38,Pennsylvania,"12,303,104","50,432",651,"3,467",,"17,500","28,814","313,408","54,345","223,350",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
39,Rhode Island,"1,059,659","3,278",39,416,,986,"1,837","35,742","6,824","23,875",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
40,South Carolina,"4,062,125","33,114",330,"1,769",,"5,987","25,028","186,054","42,611","126,742",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
41,South Dakota,"758,324","1,171",7,351,,103,710,"16,473","3,087","12,571",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
42,Tennessee,"5,749,398","42,776",423,"2,196",,"10,219","29,938","252,992","59,705","165,015",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
43,Texas,"21,370,983","122,155","1,332","8,169",,"35,348","77,306","976,654","204,362","669,625",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
44,Utah,"2,278,712","5,314",67,896,,"1,197","3,154","90,993","13,804","70,676",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
45,Vermont,"612,978",644,7,107,,107,423,"16,334","3,150","12,426",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
46,Virginia,"7,196,750","20,939",364,"1,770",,"6,860","11,945","207,506","31,604","157,060",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
47,Washington,"5,993,390","21,258",179,"2,600",,"5,934","12,545","287,234","53,024","195,133",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
48,West Virginia,"1,800,975","5,035",40,320,,707,"3,968","41,085","9,601","28,268",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
49,Wisconsin,"5,405,947","12,486",192,"1,142",,"4,444","6,708","166,924","26,927","125,275",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
50,Wyoming,"493,754","1,272",9,153,,84,"1,026","16,120","2,481","12,943",21761.74157303371,8992.38202247191,9620.792207792209,522.1724137931035,363.24615384615385,132.3015873015873,263.75,9.235294117647058,12769.359550561798,2001
51,Alaska,"641,482","3,627",33,511,,489,"2,594","24,118","3,908","17,739",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
52,Arizona,"5,441,125","30,171",387,"1,608",,"8,000","20,176","318,296","59,087","201,541",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
53,Alabama,"4,478,896","19,931",303,"1,664",,"5,962","12,002","180,400","42,578","123,932",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
54,Arkansas,"2,706,268","11,501",142,754,,"2,524","8,081","101,171","23,229","71,129",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
55,California,"35,001,986","208,388","2,395","10,198",,"64,968","130,827","1,176,484","238,428","715,692",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
56,Colorado,"4,501,051","15,882",179,"2,066",,"3,579","10,058","180,054","31,678","125,193",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
57,Connecticut,"3,458,587","10,807",84,740,,"4,069","5,914","93,426","17,111","64,735",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
58,Delaware,"805,945","4,836",26,358,,"1,154","3,298","26,967","5,355","18,555",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
59,DC,"569,157","9,322",264,262,,"3,834","4,962","36,477","5,170","21,708",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
60,Florida,"16,691,701","128,721",911,"6,753",,"32,581","88,476","777,236","177,242","511,478",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
61,Georgia,"8,544,005","39,271",606,"2,108",,"13,432","23,125","346,559","73,932","234,591",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
62,Hawaii,"1,240,663","3,262",24,372,,"1,210","1,656","71,976","12,722","49,344",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
63,Idaho,"1,343,124","3,419",36,497,,240,"2,646","39,128","7,441","29,060",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
64,Illinois,"12,586,447","75,759",961,"4,370",,"25,314","45,114","430,479","81,440","304,227",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
65,Indiana,"6,156,913","22,001",362,"1,843",,"6,612","13,184","208,965","42,605","146,073",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
66,Iowa,"2,935,840","8,388",44,797,,"1,169","6,378","92,877","18,643","68,411",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
67,Kansas,"2,711,769","10,229",78,"1,035",,"2,165","6,951","100,768","19,679","73,877",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
68,Kentucky,"4,089,822","11,101",191,"1,087",,"3,131","6,692","108,590","26,891","72,378",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
69,Louisiana,"4,476,192","29,690",593,"1,529",,"7,123","20,445","198,838","45,350","133,302",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
70,Maine,"1,294,894","1,396",14,377,,270,735,"32,985","6,965","24,591",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
71,Maryland,"5,450,525","42,015",513,"1,370",,"13,417","26,715","217,105","39,765","143,320",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
72,Massachusetts,"6,421,800","31,137",173,"1,777",,"7,169","22,018","167,753","33,243","107,922",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
73,Michigan,"10,043,221","54,306",678,"5,364",,"11,847","36,417","335,060","70,970","214,367",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
74,Minnesota,"5,024,791","13,428",112,"2,273",,"3,937","7,106","164,026","28,034","122,150",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
75,Mississippi,"2,866,733","9,858",264,"1,127",,"3,356","5,111","109,584","29,593","70,468",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
76,Missouri,"5,669,544","30,557",331,"1,465",,"7,024","21,737","230,520","42,721","159,921",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
77,Montana,"910,372","3,197",16,237,,283,"2,661","28,751","3,289","23,679",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
78,Nebraska,"1,727,564","5,428",48,464,,"1,359","3,557","68,178","10,329","51,440",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
79,Nevada,"2,167,455","13,856",181,928,,"5,118","7,629","83,896","18,951","47,459",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
80,New Hampshire,"1,274,405","2,056",12,446,,413,"1,185","26,250","4,838","19,468",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
81,New Jersey,"8,575,252","32,252",339,"1,365",,"13,955","16,593","227,715","43,899","148,061",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
82,New Mexico,"1,852,044","13,719",152,"1,027",,"2,206","10,334","80,477","19,634","53,406",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
83,New York,"19,134,293","95,030",909,"3,885",,"36,653","53,583","442,091","76,700","318,025",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
84,North Carolina,"8,305,820","39,118",548,"2,196",,"12,205","24,169","353,708","99,535","229,307",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
85,North Dakota,"633,911",496,5,163,,58,270,"14,762","2,243","11,501",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
86,Ohio,"11,408,699","40,128",526,"4,809",,"17,871","16,922","428,976","99,164","287,045",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
87,Oklahoma,"3,489,700","17,587",163,"1,573",,"2,966","12,885","148,128","35,171","100,185",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
88,Oregon,"3,520,355","10,298",72,"1,238",,"2,742","6,246","161,145","25,696","118,925",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
89,Pennsylvania,"12,328,827","49,578",624,"3,731",,"17,163","28,060","300,868","55,610","212,441",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
90,Rhode Island,"1,068,326","3,051",41,395,,916,"1,699","35,342","6,415","24,051",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
91,South Carolina,"4,103,770","33,761",298,"1,959",,"5,774","25,730","183,808","43,745","123,196",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
92,South Dakota,"760,437","1,350",11,361,,117,861,"15,992","3,034","12,139",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
93,Tennessee,"5,789,796","41,562",420,"2,290",,"9,413","29,439","249,399","61,248","161,610",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
94,Texas,"21,736,925","126,018","1,302","8,508",,"37,580","78,628","1,004,274","212,602","688,992",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
95,Utah,"2,318,789","5,488",47,943,,"1,140","3,358","97,641","15,124","74,795",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
96,Vermont,"616,408",658,13,126,,77,442,"14,942","3,489","10,684",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
97,Virginia,"7,287,829","21,256",388,"1,839",,"6,961","12,068","207,783","31,757","157,548",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
98,Washington,"6,067,060","20,964",184,"2,734",,"5,797","12,249","288,967","54,948","193,526",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
99,West Virginia,"1,804,884","4,221",57,328,,657,"3,179","41,099","9,677","27,524",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
100,Wisconsin,"5,439,692","12,238",154,"1,237",,"4,713","6,134","164,749","27,926","123,365",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
101,Wyoming,"498,830","1,364",15,148,,93,"1,108","16,494","2,448","13,303",22113.611940298506,9443.044776119403,10207.360655737704,363.16129032258067,279.98979591836735,97.74418604651163,613.55,14.166666666666666,12670.567164179105,2002
102,Alaska,"648,280","3,877",39,605,,446,"2,787","24,386","3,874","18,051",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
103,Arizona,"5,579,222","28,638",441,"1,856",,"7,619","18,722","314,335","58,613","198,725",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
104,Alabama,"4,503,726","19,331",299,"1,656",,"6,038","11,338","182,241","43,245","124,039",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
105,Arkansas,"2,727,774","12,449",180,911,,"2,227","9,131","99,084","25,016","68,061",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
106,California,"35,462,712","205,551","2,407","9,994",,"63,770","129,380","1,215,086","242,274","731,486",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
107,Colorado,"4,547,633","15,757",185,"1,913",,"3,738","9,921","179,706","32,394","124,496",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
108,Connecticut,"3,486,960","11,045",112,698,,"4,212","6,023","92,981","16,043","65,568",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
109,Delaware,"818,166","5,525",21,370,,"1,441","3,693","27,943","6,066","18,933",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
110,DC,"557,620","9,061",249,274,,"3,941","4,597","32,696","4,671","18,119",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
111,Florida,"16,999,181","124,280",924,"6,727",,"31,523","85,106","757,696","170,644","505,489",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
112,Georgia,"8,676,460","39,435",657,"2,234",,"14,043","22,501","369,589","79,001","247,196",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
113,Hawaii,"1,248,755","3,400",22,367,,"1,168","1,843","65,867","11,409","44,807",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
114,Idaho,"1,367,034","3,362",26,535,,245,"2,556","40,042","7,837","29,559",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
115,Illinois,"12,649,087","70,376",895,"4,189",,"23,786","41,506","415,885","78,345","295,907",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
116,Indiana,"6,199,571","21,842",338,"1,720",,"6,401","13,383","208,039","41,582","145,686",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
117,Iowa,"2,941,976","8,175",50,796,,"1,131","6,198","87,554","17,515","64,400",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
118,Kansas,"2,724,786","10,831",125,"1,085",,"2,247","7,374","109,276","21,973","79,471",22340.152777777777,9702.0,10199.60606060606,331.2916666666667,267.44444444444446,101.94791666666667,806.3452380952381,27.98611111111111,12638.152777777777,2003
